X,Y,OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,ST_SUBTYPE
-9481339.1696,5028492.1167,1,1222260097,MATTHEW'S HOUSE CHILD CARE MINISTRY,2305 GOSHEN ROAD,FORT WAYNE,IN,46808,NOT AVAILABLE,(260) 471-4699,CENTER BASED,OPEN,-999,ALLEN,18003,USA,41.109406,-85.172318,624410,CHILD DAY CARE CENTERS,https://secure.in.gov/apps/fssa/carefinder/index.html,2019/09/18 00:00:00,IMAGERY,2018/12/03 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-9760008.8243,5086024.3682,2,120560466,PK'S CHRISTIAN LEARNING SITE 2 INC,9 NORTH ST,PARK FOREST,IL,60466,NOT AVAILABLE,(708) 748-1000,CENTER BASED,OPEN,82,COOK,17031,USA,41.49765,-87.675652,624410,CHILD DAY CARE CENTERS,http://nw.inccrra.org/naccrrajsp/servlet/naccrra.servlets.MaskSearchServlet?pid=2soyh3dczxq72f5,2018/09/18 00:00:00,IMAGERY,2018/11/16 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-10522940.5041,4712447.3264,3,116064137,CERNER KIDS REALIZATION LEARNING CENTER,10450 HICKMAN MILLS DR,KANSAS CITY,MO,64137,NOT AVAILABLE,(816) 446-1900,CENTER BASED,OPEN,284,JACKSON,29095,USA,38.935574,-94.529182,624410,CHILD DAY CARE CENTERS,https://webapp01.dhss.mo.gov/childcaresearch/SearchEngine.aspx,2018/12/03 00:00:00,IMAGERY,2016/03/18 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-13320059.896,4411510.0223,4,1222239999,CHILD DEVELOPMENT STATE PRESCHOOL - FREEDOM,2955 GETTYSBURG,CLOVIS,CA,93611,NOT AVAILABLE,(559) 327-9186,CENTER BASED,OPEN,30,FRESNO,6019,USA,36.801754,-119.65614,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2017/12/16 00:00:00,IMAGERY/OTHER,2019/03/01 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-13562297.0672,4642992.7383,5,1222244651,EARLY LEARNING CENTER OF DIXON,"355 NORTH ALMOND ST., ROOM 21",DIXON,CA,95620,NOT AVAILABLE,(707) 678-5421,SCHOOL BASED,OPEN,30,SOLANO,6095,USA,38.448597,-121.83218,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2017/12/16 00:00:00,IMAGERY/OTHER,2019/09/30 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-13114040.6515,3985573.8901,6,1222252109,JENNY HART EARLY EDUCATION CENTER,4445 ALTON PKWY,IRVINE,CA,92604,NOT AVAILABLE,(949) 786-7392,CENTER BASED,OPEN,97,ORANGE,6059,USA,33.677456,-117.80544,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/05/14 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
-9597124.3642,4834835.5596,7,1222247241,FRIENDSHIP CHRISTIAN ACADEMY & CHILD CARE MINISTRY,1301 NORTH GOODLET AVENUE,INDIANAPOLIS,IN,46222,NOT AVAILABLE,(317) 917-8427,CENTER BASED,OPEN,-999,MARION,18097,USA,39.785603,-86.212433,624410,CHILD DAY CARE CENTERS,https://secure.in.gov/apps/fssa/carefinder/index.html,2019/09/18 00:00:00,IMAGERY,2018/12/03 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-9533679.8799,4723367.3921,8,1222232707,A KID'S VIEW PRESCHOOL,600 NORTH HENRY STREET,NORTH VERNON,IN,47265,NOT AVAILABLE,(812) 346-0080,SCHOOL BASED,OPEN,66,JENNINGS,18079,USA,39.011837,-85.642502,624410,"CHILD DAY CARE, BEFORE OR AFTER SCHOOL, SEPARATE FROM SCHOOLS",https://secure.in.gov/apps/fssa/carefinder/index.html,2019/09/18 00:00:00,IMAGERY,2018/12/03 00:00:00,NOT AVAILABLE,NOT AVAILABLE
-13115275.1585,3993949.5026,9,1222312697,TUSD/KINDERGARTEN READINESS ACADEMY-LAMBERT,1151 SAN JUAN AVENUE,TUSTIN,CA,92780,NOT AVAILABLE,(714) 730-7457,SCHOOL BASED,OPEN,24,ORANGE,6059,USA,33.740044,-117.81652,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/,2019/07/29 00:00:00,IMAGERY,2019/12/12 00:00:00,http://www.cdss.ca.gov/,NOT AVAILABLE
-13233172.5028,4064795.0337,10,1222242038,CONEJO VALLEY YMCA PEACH HILL SITE,13400 CHRISTIAN BARRETT DR.,MOORPARK,CA,93021,NOT AVAILABLE,(805) 630-8621,SCHOOL BASED,OPEN,60,VENTURA,6111,USA,34.267632,-118.87561,624410,CHILD DAY CARE CENTERS,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,2019/07/29 00:00:00,IMAGERY/OTHER,2020/01/03 00:00:00,https://secure.dss.ca.gov/CareFacilitySearch/Home/DownloadData,NOT AVAILABLE
